iter	Passed	Remaining
0	0	122
1	1	99
2	1	89
3	1	84
4	2	80
5	2	77
6	2	75
7	3	73
8	3	72
9	3	71
10	4	70
11	4	69
12	4	68
13	5	68
14	5	67
15	5	67
16	6	66
17	6	66
18	7	67
19	7	67
20	7	67
21	8	66
22	8	65
23	8	65
24	9	64
25	9	64
26	9	63
27	10	63
28	10	62
29	10	62
30	11	61
31	11	61
32	11	60
33	12	60
34	12	59
35	13	59
36	13	58
37	13	58
38	14	57
39	14	57
40	14	57
41	15	56
42	15	56
43	15	55
44	16	55
45	16	55
46	16	54
47	17	54
48	17	53
49	17	53
50	18	53
51	18	52
52	18	52
53	19	51
54	19	51
55	20	51
56	20	51
57	21	51
58	21	51
59	22	51
60	22	51
61	23	51
62	23	51
63	24	51
64	24	50
65	24	50
66	25	49
67	25	49
68	25	49
69	26	48
70	26	48
71	26	47
72	27	47
73	27	46
74	27	46
75	28	46
76	28	45
77	28	45
78	29	44
79	29	44
80	29	44
81	30	43
82	30	43
83	30	42
84	31	42
85	31	41
86	31	41
87	32	41
88	32	40
89	33	40
90	33	40
91	33	39
92	34	39
93	34	39
94	35	38
95	35	38
96	35	37
97	36	37
98	36	37
99	36	36
100	37	36
101	37	35
102	37	35
103	38	35
104	38	34
105	38	34
106	39	33
107	39	33
108	39	33
109	40	32
110	40	32
111	40	32
112	41	31
113	41	31
114	41	30
115	42	30
116	42	30
117	42	29
118	43	29
119	43	29
120	43	28
121	44	28
122	44	27
123	44	27
124	45	27
125	45	26
126	45	26
127	46	26
128	46	25
129	47	25
130	47	25
131	48	24
132	48	24
133	48	24
134	49	23
135	49	23
136	50	22
137	50	22
138	50	22
139	51	21
140	51	21
141	51	21
142	52	20
143	52	20
144	52	19
145	53	19
146	53	19
147	53	18
148	54	18
149	54	18
150	54	17
151	55	17
152	55	17
153	55	16
154	56	16
155	56	15
156	56	15
157	57	15
158	57	14
159	57	14
160	58	14
161	58	13
162	59	13
163	59	13
164	60	12
165	60	12
166	60	12
167	61	11
168	61	11
169	61	10
170	62	10
171	62	10
172	62	9
173	63	9
174	63	9
175	63	8
176	64	8
177	64	7
178	64	7
179	65	7
180	65	6
181	65	6
182	66	6
183	66	5
184	66	5
185	67	5
186	67	4
187	68	4
188	68	3
189	69	3
190	69	3
191	70	2
192	70	2
193	71	2
194	71	1
195	72	1
196	72	1
197	73	0
198	73	0
199	73	0
